sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.7812653261402648,0.641046277665996,0.24757375045008082,0.07223674488776678,0.5502030734372515,0.9635983927656404,0.01770073757153717
test_000001,0.7377173091458806,0.5844311377245509,0.24097913691338174,0.08708826423425695,0.5769939384472382,0.8912579292971371,0.017303848500352253
test_000002,0.787898095717677,0.6500262832143523,0.2692806858850828,0.09438269297613729,0.5576020950298073,0.9142745358165929,0.026872849093394074
test_000003,0.8195126470860743,0.6942155246840908,0.3174470385338104,0.12444676139311704,0.6120741363204933,0.7980762023197939,0.0328624479657007
test_000004,0.9321968066679963,0.8730043255996854,0.746529948730774,0.7203570273985346,0.8404938987023229,0.9973135270537558,0.005971491942398672
test_000005,0.8509043506599315,0.7404991491775383,0.6153453989293908,0.5484390300987041,0.7644666343689983,0.9973490930243539,0.008585618639579195
test_000006,0.9443562984647702,0.8945786320624908,0.777447222381143,0.7610362533313125,0.8374419594431342,0.9978511814959238,0.0035919433687752844
test_000007,0.8865936140093326,0.7962893200226031,0.6653324620160105,0.6145128405422245,0.8493182007150577,0.997611131581518,0.004587047657507547
test_000008,0.8865696379551458,0.7962506396241336,0.6154842149358315,0.5893011271339101,0.7729096836222402,0.9963640566400446,0.005507523496778394
test_000009,0.9219839598079363,0.855259964075926,0.7195727069835973,0.6676538567694407,0.7083239034865484,0.9976563830587373,0.004592626061928394
test_000010,0.9518026641142219,0.9080376676495767,0.7149677057006459,0.7033374089104125,0.7769882546027979,0.9973250719774391,0.005843336525581458
test_000011,0.9379943466196417,0.8832291463176402,0.7090032154340836,0.6875650915331392,0.7574610105969464,0.9973910586872498,0.0064414898792692936
test_000012,0.9233834450280747,0.857671601615074,0.7689332753479126,0.7372404720102038,0.5124550066436658,0.9982833756675691,0.0059799743547187265
test_000013,0.9312452661112237,0.8713367403976683,0.7037921868165147,0.6866138390592627,0.8053096537285545,0.9962906616265966,0.008202534211531885
test_000014,0.9461641663617514,0.8978288042220267,0.7980192465369179,0.7316252349259017,0.869496553166017,0.9960549480173971,0.008561175755708235
test_000015,0.9292306355996612,0.8678158588521598,0.7415933074525671,0.7400656652140927,0.7795867847911643,0.9967775830600946,0.006415392652724708
