sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.24177530065273908,0.0418841668221144,0.22808682300451136,0.9951964335340103,0.006031787362659102
test_000001,0.878746920339447,0.7837186236362249,0.2327929375127701,0.0377702130429309,0.22368890474491618,0.9950170947883117,0.0049905823011117045
test_000002,0.9026242978116877,0.8225298737813637,0.25737474058701454,0.05318924131373523,0.2378480612478053,0.9952569097491907,0.010291319294625952
test_000003,0.7674947811859403,0.622711181640625,0.2564435632733985,0.06877844701549095,0.21156282941762575,0.994090767204651,0.010261044668272162
test_000004,0.8264976319017306,0.7042999267578125,0.5675134051887559,0.4829577988888844,0.23171733771569433,0.9974747107064346,0.003921609886368836
test_000005,0.5675823052280008,0.39624078039495597,0.2909862709855061,0.19059774411463104,0.19376744724243172,0.9961339326806866,0.008236767167134723
test_000006,0.8042611558156547,0.6726060290901305,0.5570411435404098,0.4552950353764776,0.24673228695575067,0.9982419279445285,0.0018709050570795635
test_000007,0.5805077696070275,0.40895452414439754,0.33285070785070786,0.18061093780972542,0.18441841075138135,0.997442822754021,0.002403287916951172
test_000008,0.4905772530159545,0.32500984498621704,0.24261615605344772,0.24716707050185843,0.21315387535164845,0.9977198148507851,0.001829344121955245
test_000009,0.7548622087829016,0.6062479302351252,0.4730036548897995,0.3934107209954943,0.2653312084158168,0.9981325252235346,0.0021544423806930247
test_000010,0.8717224756821899,0.772613525390625,0.567366658077815,0.5373645179753176,0.37348785217631275,0.9973728264911408,0.0048134948879962666
test_000011,0.7471923698236586,0.5964142872585203,0.4561931068265005,0.4422480059974462,0.33951079136690643,0.9975349062141978,0.0045236841203664105
test_000012,0.9456958970233307,0.8969858832506676,0.7068095586766957,0.6119247731708345,0.5803568340043586,0.9973843535694958,0.00491374060658962
test_000013,0.8349466236455917,0.7166595458984375,0.5298523012808727,0.432942352745984,0.30667161159557627,0.9974789392232163,0.0037993546998597305
test_000014,0.7761940864291129,0.6342460661628051,0.5122606049758368,0.4318419536212822,0.26479201616685116,0.9974060915058872,0.004038046306729888
test_000015,0.8399561938511125,0.7240728232838021,0.5495052748836905,0.48867573947101445,0.26001614479330415,0.9977154852921448,0.00399904097082591
