sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342786753286879,0.8766632080078125,0.23743537482600915,0.030094616918315675,0.22806312785071106,0.9934504402813765,0.007700512408154547
test_000001,0.878739403064236,0.7837066650390625,0.22944817242763293,0.03908288650199373,0.22269786188698054,0.9929618755401974,0.006897994465432944
test_000002,0.9026357265014587,0.8225488548335345,0.25412041211512026,0.04959173292108269,0.23796081219159226,0.9933314196704641,0.012322606739839696
test_000003,0.7674947811859403,0.622711181640625,0.2559673767068903,0.07261578568475757,0.21156282941762575,0.9913688145859421,0.014507139617103811
test_000004,0.8264945250736406,0.7042954146639201,0.5629767114193976,0.45797646677637677,0.23304112469954122,0.9956551745255349,0.006309409407564463
test_000005,0.5652705179553323,0.39399101017269933,0.28923416733310486,0.19874825625293022,0.19505026159543823,0.993115796349037,0.011778343733386298
test_000006,0.8040993947815911,0.6723797874780215,0.5502873757522483,0.44309713271126816,0.2479452888771638,0.9962938462839176,0.0036928530866343337
test_000007,0.5778351881293058,0.4063067678978993,0.32811876446643784,0.16921479986348284,0.18476261466511176,0.9959125271399233,0.0037032307972975284
test_000008,0.4873890924710399,0.3222170949879313,0.23935579681935493,0.2371980554049777,0.2146946220713038,0.9963633860694038,0.0029993172863509105
test_000009,0.7532556612740439,0.6041781284876684,0.463671429944131,0.38307614317016,0.276646171035906,0.9963833392991559,0.0037601808754056916
test_000010,0.8717449878192602,0.7726488944501244,0.5616632520262348,0.5252025400055006,0.37491527605979647,0.9962223658130571,0.006274600791845095
test_000011,0.746066243588629,0.5949805879090405,0.45063122381237414,0.42514653227611876,0.34017191915371575,0.9958625155921811,0.006732128286988842
test_000012,0.9456417682313664,0.8968884955212038,0.6922884194424664,0.5903807646698422,0.5833113754632493,0.9957047385787295,0.0067860029783996636
test_000013,0.834983733044143,0.7167142268544658,0.5238839122263175,0.4230387310724001,0.3068215798391999,0.9965441246865157,0.005082290321715811
test_000014,0.7756427861167668,0.6335102021873985,0.5038170027635647,0.42295997212459513,0.2664095900746081,0.9957142747966571,0.005722949799655102
test_000015,0.839507710927002,0.7234065394761058,0.5448607183998324,0.47371829484964345,0.2602173557580417,0.9958795706889252,0.005810553901130232
