sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9060325995630987,0.8282080427636632,0.2279545721220056,0.03879326581954956,0.3074303338886795,1.0,0.0
test_000001,0.8571529601046667,0.7500154702970298,0.22211793823607112,0.03857483413429965,0.320707672419127,1.0,0.0
test_000002,0.8848889809730999,0.7935433924285825,0.248455272345058,0.04775943586871121,0.2944912810258974,1.0,0.0
test_000003,0.7666004125964373,0.6215345135717232,0.25402642586294516,0.06401972183005843,0.21276367830265144,1.0,0.0
test_000004,0.8332892178786246,0.7142208940278191,0.6027690832698869,0.5292939249291477,0.24290380541096937,1.0,0.0
test_000005,0.6375323383084577,0.4679247487730778,0.3728054731123296,0.23161329632311795,0.1967565962815898,1.0,0.0
test_000006,0.8464394129816896,0.7337624243643251,0.6275857945713261,0.5135418290522561,0.2510526417480764,1.0,0.0
test_000007,0.6615744827850919,0.49429308861485516,0.4034882016708193,0.1941808724622114,0.19680647872259152,1.0,0.0
test_000008,0.6675752329735902,0.5010228340797258,0.37588558564523605,0.3073502889613515,0.19748275798986514,1.0,0.0
test_000009,0.8445890608052771,0.7309858615272615,0.597896726928985,0.5206581496057057,0.283151799452846,1.0,0.0
test_000010,0.8983355905624064,0.8154348845861439,0.6290658592816866,0.6050891589074239,0.34558487624150125,1.0,0.0
test_000011,0.8382489232949899,0.7215391834819334,0.5723759093383481,0.5207153790627569,0.31459106060687386,1.0,0.0
test_000012,0.9554609788687088,0.9147202349931303,0.7736903605468035,0.7011880912478008,0.5594073264825372,1.0,0.0
test_000013,0.8472480014701829,0.7349785578777879,0.5705262883167387,0.4975263582693564,0.28957214275171184,1.0,0.0
test_000014,0.8263028305150276,0.7040170599351584,0.6117934946689336,0.4827599242910162,0.27012690967275277,1.0,0.0
test_000015,0.8646994412780414,0.7616480364032051,0.6241566134508416,0.5675269806539858,0.3254013497035715,1.0,0.0
