sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342786753286879,0.8766632080078125,0.24170642681848192,0.037934852133896274,0.22884288593974664,0.9953360010380972,0.005795518489067446
test_000001,0.878739403064236,0.7837066650390625,0.2317827448288422,0.039439413092219607,0.22269786188698054,0.9953475670222578,0.004693287342254432
test_000002,0.9024557874444724,0.8222500534563338,0.2563148648449149,0.05081367393127314,0.23710208562019755,0.9953319413793028,0.011050819456907812
test_000003,0.7674947811859403,0.622711181640625,0.2560265676890018,0.06848154254332334,0.21156282941762575,0.9943048450588203,0.009879883646041726
test_000004,0.8264976319017306,0.7042999267578125,0.5696815217538674,0.49108015571732117,0.23171733771569433,0.9975817032106111,0.003805481494193756
test_000005,0.5574187502091911,0.3864037122969838,0.2821092418290966,0.18990183826041432,0.1919517168613773,0.9963142660688514,0.008875416816958323
test_000006,0.8033393312203722,0.671317569114751,0.5584946119812165,0.4575190611739657,0.2468432922442747,0.9983364920909172,0.0018248373330469
test_000007,0.5712508185985593,0.3998258238987945,0.32655874591358464,0.17913773081718234,0.1841674462114125,0.997181924940889,0.001980880951798537
test_000008,0.4763991289061475,0.3126797430642856,0.23359210581332143,0.24764664640131684,0.2183637153385924,0.997616652558266,0.0017381707559347517
test_000009,0.7488386135431783,0.5985148052433291,0.4699336731897166,0.399848694366122,0.26990953581491917,0.9981933159430348,0.0019448782932544202
test_000010,0.8717224756821899,0.772613525390625,0.5706057083817642,0.5395217681453176,0.37348785217631275,0.9975522059773705,0.004379739659620137
test_000011,0.7433124206150649,0.5914854517611026,0.4559934985778139,0.4455749445048509,0.348516945736884,0.9976036300268865,0.004293206652921023
test_000012,0.9455952505450128,0.8968048095703125,0.7089924563947687,0.6117494640842317,0.5836087243886319,0.9976227462462683,0.004706737532582834
test_000013,0.8349466236455917,0.7166595458984375,0.5314432230837177,0.43135702545578414,0.30667161159557627,0.997603983795801,0.003687539764652012
test_000014,0.7746524165326776,0.6321899410293618,0.5135985707414279,0.43385321095392304,0.26399794872540927,0.9973564033667415,0.003896158779166083
test_000015,0.8380013324450366,0.7211723695073846,0.5508299298355849,0.4942702093681732,0.26001614479330415,0.9976331738037825,0.0037905135021778316
