sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.22739028647824996,0.03596694540357058,0.22808682300451136,1.0,0.0
test_000001,0.878739403064236,0.7837066650390625,0.22035988490048136,0.030978676964370132,0.22269786188698054,1.0,0.0
test_000002,0.9022824775439067,0.8219623528693343,0.24425823571565408,0.03817262729174906,0.2368193939858935,1.0,0.0
test_000003,0.7674947811859403,0.622711181640625,0.2518940858136838,0.061716773944770646,0.21156282941762575,1.0,0.0
test_000004,0.8264976319017306,0.7042999267578125,0.5912450880712264,0.5165394553218979,0.23171733771569433,1.0,0.0
test_000005,0.5094991892801419,0.34183087027914616,0.24312305444380916,0.21183417117701167,0.18732385412472718,1.0,0.0
test_000006,0.8031375270515829,0.6710357666015625,0.5737965949454946,0.4955893214069196,0.24673228695575067,1.0,0.0
test_000007,0.524077022439845,0.35508426280224703,0.2944120988355581,0.13707907484212054,0.1841674462114125,1.0,0.0
test_000008,0.4514140095717571,0.29150077061392243,0.22241250833409593,0.2803190295229253,0.2402901169657367,1.0,0.0
test_000009,0.7403235124205662,0.5877092409997707,0.4823739643688742,0.4559535502441346,0.27360192423331325,1.0,0.0
test_000010,0.8717224756821899,0.772613525390625,0.5939503362377999,0.5875593563065912,0.37348785217631275,1.0,0.0
test_000011,0.7416282642089094,0.58935546875,0.4723858115993161,0.4759705541344037,0.3566589783440079,1.0,0.0
test_000012,0.9456122145264699,0.8968353271484375,0.7504939240574846,0.6774886330914875,0.5818953622510914,1.0,0.0
test_000013,0.8349466236455917,0.7166595458984375,0.5441698727434152,0.4630449597899978,0.30667161159557627,1.0,0.0
test_000014,0.7697527325357367,0.6256894470672717,0.5379273059968394,0.4530981055327824,0.26735900727270717,1.0,0.0
test_000015,0.8370347367020097,0.7197418212890625,0.5784706520158145,0.531791143216096,0.26001614479330415,1.0,0.0
