sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.1945932289034866,0.008522156224374878,0.22808682300451136,1.0,0.0
test_000001,0.878739403064236,0.7837066650390625,0.20394404622154602,0.023143299796008477,0.22269786188698054,1.0,0.0
test_000002,0.9024185843822805,0.8221882873940597,0.21435233960314318,0.01992185952021334,0.23684702590774045,1.0,0.0
test_000003,0.7674947811859403,0.622711181640625,0.24047700754975979,0.050311650207381924,0.21156282941762575,1.0,0.0
test_000004,0.8264976319017306,0.7042999267578125,0.5091010017556542,0.4604308961385704,0.23171733771569433,1.0,0.0
test_000005,0.5217582004448761,0.35295863004408273,0.24479875559012249,0.24131103005029458,0.18836163729730881,1.0,0.0
test_000006,0.8033282490158649,0.6713020912837735,0.45398757916743526,0.3967353678461331,0.24673228695575067,1.0,0.0
test_000007,0.529935299656754,0.36048433754855774,0.2846620602574445,0.24860956581360702,0.18525992159662213,1.0,0.0
test_000008,0.4664791192981104,0.30418830624895293,0.19125368625476516,0.2332246125358896,0.22820576649924587,1.0,0.0
test_000009,0.7467295982285931,0.5958248093732564,0.42298253212068715,0.3259920487328181,0.27011205197760607,1.0,0.0
test_000010,0.8717224756821899,0.772613525390625,0.49528066957398476,0.4141007690824151,0.37348785217631275,1.0,0.0
test_000011,0.7425764464994665,0.590553950124612,0.38826232505280844,0.36533571159223655,0.3513689523535014,1.0,0.0
test_000012,0.9456122145264699,0.8968353271484375,0.5531491132869801,0.46997871569224764,0.5818953622510914,1.0,0.0
test_000013,0.8349466236455917,0.7166595458984375,0.46675939433004265,0.4279410043278256,0.30667161159557627,1.0,0.0
test_000014,0.7722421270978691,0.6289856853228482,0.4496866184148381,0.41504442730507296,0.2669205212169574,1.0,0.0
test_000015,0.8377855138360982,0.7208527546420112,0.4764889523486847,0.4649237943934156,0.26001614479330415,1.0,0.0
