sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.7707718117513171,0.6270372084856418,0.2220374387402587,0.04414228413627937,0.49617952117030145,0.9856036495689016,0.019418288023645914
test_000001,0.7155153009271665,0.5570446276577989,0.2159255923386578,0.047429311446830234,0.4732346430175042,0.9832137482911405,0.022927162097427088
test_000002,0.7706337250175755,0.6268544539572577,0.24612321583803035,0.062420739012620644,0.45463490091835296,0.9834749155868225,0.030264448254250228
test_000003,0.7394834099448192,0.5866510728846872,0.26661713936109777,0.0784131250305023,0.42573933354960225,0.9747298723859762,0.04051220618401734
test_000004,0.933124552798316,0.8746330747847048,0.738694960583125,0.7190664943442288,0.8345981231672641,0.9958393949476938,0.007966346017241839
test_000005,0.8406013434268046,0.7250321868677579,0.602110643911287,0.508156720515901,0.7252739847948757,0.996366829792669,0.01155127023476356
test_000006,0.9443281799555151,0.8945281687217171,0.7660690215484609,0.7601934301319407,0.831071346240247,0.9966545142137355,0.0039006090817619026
test_000007,0.8764708931626147,0.7801051951647134,0.6539387133001765,0.6069578861971514,0.8228365793573824,0.9961016219051827,0.006881976720454348
test_000008,0.8869569651233938,0.7968757157909203,0.6035830138602182,0.5790160273768238,0.758928958482402,0.9945661829293408,0.006881807930573674
test_000009,0.9282025057530043,0.8660241423732048,0.7221198839695949,0.6830784352052779,0.7142862988477329,0.9968295110762689,0.004619249930089093
test_000010,0.9568467416788472,0.9172638191427336,0.7169587603748762,0.7061077539068069,0.7962623446041324,0.9955119102273678,0.005629631166599432
test_000011,0.9451986818164467,0.8960916767189385,0.712285798492695,0.6848752552977448,0.783070502965078,0.9959628102774525,0.0062425323073113295
test_000012,0.9557707589266222,0.915288254085063,0.8025790324055727,0.7681117677499377,0.6314128729798649,0.9970384719483332,0.006301295010485731
test_000013,0.9384167917931057,0.8839785563094696,0.7063075879638054,0.6892262858313483,0.81983441701023,0.9934153425562795,0.009865146630541237
test_000014,0.9513984410820725,0.9073021425448186,0.8075090159711489,0.7440076791620874,0.8915484705662763,0.9948925067339722,0.007062319044641754
test_000015,0.9463377496748544,0.8981414579319204,0.7658738066339378,0.7474894066909691,0.8275370487498436,0.9942730287557826,0.007235601821918386
