sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.24670056490090722,0.05271936504371104,0.22808682300451136,0.9850886364867624,0.01727327590137109
test_000001,0.878739403064236,0.7837066650390625,0.23925184813844622,0.040269223571558016,0.22269786188698054,0.9782233058131093,0.022542144408789
test_000002,0.9025849929591632,0.8224645983227167,0.26219855424542277,0.07214608446292439,0.2369854911102606,0.9810794196134054,0.030400194422279595
test_000003,0.7674947811859403,0.622711181640625,0.26645786667195276,0.0781472954816952,0.21156282941762575,0.9675231551353632,0.048887956211035456
test_000004,0.8264976319017306,0.7042999267578125,0.5893416067212125,0.5100323938461672,0.23171733771569433,0.9946280697161998,0.007301457144964564
test_000005,0.5281283693790829,0.3588141509027449,0.2592077596147324,0.19881374857067008,0.18828139975719366,0.9948149558723961,0.00809817749292662
test_000006,0.8032475479004183,0.6711893896613299,0.5757575757575758,0.49832240147377127,0.24673228695575067,0.9956683708489251,0.003964350331071182
test_000007,0.5478583092576309,0.377276069374162,0.3138423479140897,0.18012281404722721,0.18492239737161204,0.9950725089497143,0.006299353230703967
test_000008,0.47282007213259897,0.30960338300992396,0.23221550302363936,0.2575449949687289,0.22224820882581117,0.9937713380984153,0.003602357998585543
test_000009,0.7457446292614325,0.5945716053201361,0.4895945609816765,0.4432440825871059,0.27181157937241057,0.9957652155167236,0.004845276535344566
test_000010,0.8717224756821899,0.772613525390625,0.588504730055043,0.5719699842216325,0.37348785217631275,0.9952197253691621,0.006118713443751309
test_000011,0.7423837622772791,0.5903102552346019,0.47177270930185,0.4703746207941629,0.35254095767408034,0.9952884301681407,0.00591294134347687
test_000012,0.9456730730553566,0.8969448174826029,0.7469664816628577,0.6632577502538287,0.5811250798163923,0.9968525206081992,0.0056462054967866635
test_000013,0.8349466236455917,0.7166595458984375,0.5472728175095538,0.4583778449006983,0.30667161159557627,0.9920107206865109,0.009841261836752858
test_000014,0.7724241995567501,0.6292272943779481,0.5356651136916765,0.4645100622982174,0.26550532206737626,0.9942016385738955,0.006264588409161282
test_000015,0.8375549340791051,0.7205114105031619,0.580214117898334,0.5281977045845676,0.25995981666886125,0.9937561846386987,0.006632202813213324
