sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.24253618023490037,0.0405467021864143,0.22808682300451136,0.9776858308181281,0.02153414556785365
test_000001,0.878739403064236,0.7837066650390625,0.24080355368851294,0.03971092607940736,0.22269786188698054,0.9697702535843312,0.029046361881157518
test_000002,0.9026001240549194,0.8224897267075052,0.26457428998948135,0.06710110502103674,0.2369854911102606,0.9732451031202196,0.03720008000596793
test_000003,0.7674947811859403,0.622711181640625,0.2723843183194512,0.07318920434596304,0.21156282941762575,0.9501844607384546,0.06524431021074507
test_000004,0.8264976319017306,0.7042999267578125,0.5849677647506869,0.5040843116231711,0.23171733771569433,0.9950314428078352,0.0075035733283679495
test_000005,0.528597727417,0.35924759480564306,0.25887724044639837,0.19542589335314994,0.18828139975719366,0.9951190727134216,0.009387173242783275
test_000006,0.8032475479004183,0.6711893896613299,0.5746514263864422,0.4916822049155164,0.24673228695575067,0.9956026275030916,0.003930445327426797
test_000007,0.5482715273412948,0.3776680954236481,0.31699198063247086,0.1763352943122934,0.18492239737161204,0.9960124451151804,0.0055880832978395705
test_000008,0.47306645128512437,0.3098146947411528,0.2350008332870396,0.2645810565997645,0.22188937139602763,0.9928660353945619,0.003804007218576978
test_000009,0.7458603730756919,0.5947187674030072,0.48869745003445897,0.4454314202543289,0.27181157937241057,0.9960896485976929,0.0048096031061231346
test_000010,0.8717224756821899,0.772613525390625,0.5872323295284845,0.5662227706607531,0.37348785217631275,0.9948776346567606,0.005965095330932099
test_000011,0.7424337078435707,0.5903734160769148,0.470532499526246,0.48332778081343164,0.35263143585756157,0.9954166457283747,0.005816383716372043
test_000012,0.9456730730553566,0.8969448174826029,0.7438176145649033,0.667281025458896,0.5811250798163923,0.9964942163224956,0.005691958877793662
test_000013,0.8349466236455917,0.7166595458984375,0.5465158068233924,0.4656003981023221,0.30667161159557627,0.9919405047250627,0.010073297580381156
test_000014,0.7723877781969068,0.6291789577187807,0.5372781065088758,0.45172000860239003,0.2654511909583528,0.9939891943380812,0.006796009873287192
test_000015,0.8375623701546602,0.7205224165584664,0.5850431422015271,0.528780915520408,0.25995981666886125,0.9936679261980816,0.0075531668388150305
