sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.24250123946455132,0.04046127809467812,0.22808682300451136,0.9774813778584592,0.021644611311943236
test_000001,0.878739403064236,0.7837066650390625,0.24072049301374532,0.03967713428473815,0.22269786188698054,0.9699273077150807,0.028968591376269632
test_000002,0.9026001240549194,0.8224897267075052,0.2650844132683391,0.06696023298952425,0.2369854911102606,0.9735129458161735,0.036840754837346196
test_000003,0.7674947811859403,0.622711181640625,0.27253770765274205,0.07126865549412424,0.21156282941762575,0.9505451611487464,0.06489684005937171
test_000004,0.8264976319017306,0.7042999267578125,0.5849631422898023,0.5040794915463551,0.23171733771569433,0.9950279275771093,0.0074854839646154156
test_000005,0.528597727417,0.35924759480564306,0.25879966187658493,0.20398151874542236,0.18828139975719366,0.9950279648417014,0.009409946843107907
test_000006,0.8032475479004183,0.6711893896613299,0.5747746517344988,0.49182717764555517,0.24673228695575067,0.9956364974856137,0.003898817511616488
test_000007,0.5482715273412948,0.3776680954236481,0.3169781342210789,0.17614495535509303,0.18492239737161204,0.9960124451151804,0.005590471972243592
test_000008,0.47301715491526747,0.309772409322005,0.2349339035769829,0.2643804912714614,0.22199177808229323,0.9928749946457793,0.0038078805146772427
test_000009,0.7458386683738797,0.5946911689637571,0.4888202696369,0.44542713013906327,0.27181157937241057,0.9959809232112725,0.004862951593169424
test_000010,0.8717224756821899,0.772613525390625,0.5877981603700047,0.5691760575394271,0.37348785217631275,0.9949196522594682,0.005877461626115184
test_000011,0.7424265723512226,0.5903643922719491,0.4704680182984598,0.48328091779378407,0.35263143585756157,0.995386122464488,0.005841758129779192
test_000012,0.9456654653108508,0.8969311297288224,0.7442454206516453,0.6677633874000065,0.5809328277458387,0.9965587312942824,0.005617290399469713
test_000013,0.8349466236455917,0.7166595458984375,0.5468174547077862,0.4652712763966741,0.30667161159557627,0.9921390345138807,0.009735415724895244
test_000014,0.772380494337096,0.6291692912780962,0.5375863413547237,0.452018701797956,0.2654511909583528,0.9940938715444801,0.006715991852280799
test_000015,0.837540062324103,0.7204893994012342,0.577857190126398,0.5287886707039623,0.25995981666886125,0.9937955699178432,0.007273900331617611
