sample,dice,iou,aji,pq,boundary_f1,nucleus_containment,neighbor_leakage
test_000000,0.9342873404341816,0.876678466796875,0.2424735355291342,0.040767520333754526,0.22808682300451136,0.9826799472215907,0.01616189581855514
test_000001,0.878739403064236,0.7837066650390625,0.23795822751862455,0.0388902320509329,0.22269786188698054,0.9805091701040085,0.019214961677885806
test_000002,0.9025925584436267,0.8224771623231799,0.26322302414155935,0.05818345103731733,0.2369854911102606,0.9806690160845801,0.02818005433321948
test_000003,0.7674947811859403,0.622711181640625,0.2679563188683154,0.06904076837107748,0.21156282941762575,0.9667741675464747,0.04617480937487219
test_000004,0.8264976319017306,0.7042999267578125,0.5854913113884088,0.5066982438765376,0.23171733771569433,0.9960430759722201,0.0057308624288298785
test_000005,0.5281116220072934,0.3587986901068597,0.2587348786916267,0.20436068551730266,0.18828139975719366,0.9957285769959155,0.006765408420970926
test_000006,0.8032328767123288,0.6711689025227783,0.5741392961476507,0.49149768494847995,0.24673228695575067,0.9966986904284161,0.0031319281213592343
test_000007,0.5477723005431882,0.3771944996973104,0.3161132075471698,0.17645234361701057,0.18492239737161204,0.9967861352670829,0.004730198310031378
test_000008,0.47267236778736643,0.30947673427646155,0.2349960433702156,0.2700661224188264,0.22219687529406396,0.9944603037366009,0.003215132204519673
test_000009,0.7457807953443258,0.594617585646895,0.4883858701642235,0.4454325357126811,0.2717431877566256,0.9965829600961306,0.0037867658101905064
test_000010,0.8717224756821899,0.772613525390625,0.5877691018461978,0.5696120555093399,0.37348785217631275,0.9960446287067178,0.0049712260959648355
test_000011,0.742348090986844,0.5902651486207687,0.47047755698738425,0.480440756832575,0.3529031492729475,0.9961570472510349,0.005172394483622791
test_000012,0.9456654653108508,0.8969311297288224,0.744682001243344,0.6684954511740852,0.5809328277458387,0.9971032031894355,0.00530470032467469
test_000013,0.8349466236455917,0.7166595458984375,0.5478061192825668,0.468593468859389,0.30667161159557627,0.9935405377233258,0.008166073832186429
test_000014,0.7723076632940755,0.6290726432049647,0.5384894040934614,0.453273976391012,0.2653970819172838,0.9946206078525902,0.005804807743851593
test_000015,0.837510320398434,0.7204453812316716,0.5852165977776584,0.5293544600536297,0.25990351294421415,0.9946891363627234,0.005768825488838337
